participant_id,condition,rt,response,stimulus,task_type,choices,block,colour,congruency,stim_eng,task,accuracy,dev_start_age,pa_start_age,dev_rating,pa_rating,options_roman
P01,1,1232,0,<p style='color:blue'>हरा</p>,main,"[""नीला"",""हरा""]",hindi pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,1181,1,<p style='color:red'>नीला</p>,main,"[""नीला"",""लाल""]",hindi pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,1018,1,<p style='color:blue'>लाल</p>,main,"[""लाल"",""नीला""]",hindi pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,1182,0,<p style='color:green'>नीला</p>,main,"[""हरा"",""नीला""]",hindi pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,814,0,<p style='color:green'>हरा</p>,main,"[""हरा"",""लाल""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,850,0,<p style='color:red'>लाल</p>,main,"[""लाल"",""हरा""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,1262,1,<p style='color:blue'>नीला</p>,main,"[""लाल"",""नीला""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,798,0,<p style='color:red'>लाल</p>,main,"[""लाल"",""नीला""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,881,1,<p style='color:blue'>नीला</p>,main,"[""हरा"",""नीला""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,777,0,<p style='color:red'>लाल</p>,main,"[""लाल"",""नीला""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,980,1,<p style='color:red'>लाल</p>,main,"[""हरा"",""लाल""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,1303,1,<p style='color:red'>लाल</p>,main,"[""नीला"",""लाल""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,799,1,<p style='color:green'>हरा</p>,main,"[""नीला"",""हरा""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,1279,1,<p style='color:green'>नीला</p>,main,"[""नीला"",""हरा""]",hindi pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,1109,0,<p style='color:red'>नीला</p>,main,"[""लाल"",""नीला""]",hindi pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,917,1,<p style='color:blue'>नीला</p>,main,"[""हरा"",""नीला""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,1403,0,<p style='color:red'>हरा</p>,main,"[""लाल"",""हरा""]",hindi pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,840,0,<p style='color:blue'>नीला</p>,main,"[""नीला"",""हरा""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,949,1,<p style='color:green'>हरा</p>,main,"[""लाल"",""हरा""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,880,1,<p style='color:green'>नीला</p>,main,"[""नीला"",""हरा""]",hindi pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,859,1,<p style='color:red'>हरा</p>,main,"[""हरा"",""लाल""]",hindi pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,1023,1,<p style='color:blue'>लाल</p>,main,"[""लाल"",""नीला""]",hindi pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,720,0,<p style='color:green'>हरा</p>,main,"[""हरा"",""लाल""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,1785,0,<p style='color:green'>नीला</p>,main,"[""हरा"",""नीला""]",hindi pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,955,0,<p style='color:blue'>नीला</p>,main,"[""नीला"",""लाल""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,838,0,<p style='color:green'>लाल</p>,main,"[""हरा"",""लाल""]",hindi pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,735,1,<p style='color:red'>हरा</p>,main,"[""हरा"",""लाल""]",hindi pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,754,0,<p style='color:green'>हरा</p>,main,"[""हरा"",""नीला""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,856,1,<p style='color:green'>हरा</p>,main,"[""लाल"",""हरा""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,800,1,<p style='color:blue'>हरा</p>,main,"[""हरा"",""नीला""]",hindi pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,1159,1,<p style='color:blue'>हरा</p>,main,"[""हरा"",""नीला""]",hindi pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,1193,1,<p style='color:green'>लाल</p>,main,"[""लाल"",""हरा""]",hindi pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,797,0,<p style='color:blue'>नीला</p>,main,"[""नीला"",""हरा""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,1208,0,<p style='color:blue'>लाल</p>,main,"[""नीला"",""लाल""]",hindi pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,920,1,<p style='color:red'>लाल</p>,main,"[""हरा"",""लाल""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,1238,1,<p style='color:red'>नीला</p>,main,"[""नीला"",""लाल""]",hindi pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,1158,1,<p style='color:blue'>लाल</p>,main,"[""लाल"",""नीला""]",hindi pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,1522,0,<p style='color:red'>हरा</p>,main,"[""लाल"",""हरा""]",hindi pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,982,0,<p style='color:red'>नीला</p>,main,"[""लाल"",""नीला""]",hindi pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,763,0,<p style='color:green'>हरा</p>,main,"[""हरा"",""नीला""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,777,0,<p style='color:blue'>नीला</p>,main,"[""नीला"",""लाल""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,1092,1,<p style='color:blue'>नीला</p>,main,"[""लाल"",""नीला""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,771,0,<p style='color:green'>लाल</p>,main,"[""हरा"",""लाल""]",hindi pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,859,0,<p style='color:blue'>नीला</p>,main,"[""नीला"",""हरा""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,729,0,<p style='color:red'>लाल</p>,main,"[""लाल"",""नीला""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,724,1,<p style='color:green'>नीला</p>,main,"[""नीला"",""हरा""]",hindi pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,1005,1,<p style='color:red'>नीला</p>,main,"[""नीला"",""लाल""]",hindi pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,902,0,<p style='color:green'>हरा</p>,main,"[""हरा"",""नीला""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,1059,1,<p style='color:green'>हरा</p>,main,"[""नीला"",""हरा""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,964,0,<p style='color:blue'>लाल</p>,main,"[""नीला"",""लाल""]",hindi pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,919,1,<p style='color:red'>लाल</p>,main,"[""हरा"",""लाल""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,837,0,<p style='color:red'>लाल</p>,main,"[""लाल"",""हरा""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,796,0,<p style='color:blue'>हरा</p>,main,"[""नीला"",""हरा""]",hindi pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,932,1,<p style='color:red'>हरा</p>,main,"[""हरा"",""लाल""]",hindi pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,917,0,<p style='color:green'>लाल</p>,main,"[""हरा"",""लाल""]",hindi pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,733,1,<p style='color:blue'>हरा</p>,main,"[""हरा"",""नीला""]",hindi pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,877,0,<p style='color:blue'>नीला</p>,main,"[""नीला"",""लाल""]",hindi pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,797,0,<p style='color:green'>हरा</p>,main,"[""हरा"",""लाल""]",hindi pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,944,1,<p style='color:green'>लाल</p>,main,"[""लाल"",""हरा""]",hindi pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,1349,1,<p style='color:red'>लाल</p>,main,"[""नीला"",""लाल""]",hindi pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,1111,0,<p style='color:green'>لال</p>,main,"[""ہرا"",""لال""]",urdu pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,943,0,<p style='color:blue'>نیلا</p>,main,"[""نیلا"",""ہرا""]",urdu pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,1235,1,<p style='color:blue'>نیلا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,889,0,<p style='color:red'>لال</p>,main,"[""لال"",""نیلا""]",urdu pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,1069,1,<p style='color:green'>ہرا</p>,main,"[""نیلا"",""ہرا""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,1233,1,<p style='color:red'>ہرا</p>,main,"[""ہرا"",""لال""]",urdu pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,1507,0,<p style='color:red'>نیلا</p>,main,"[""لال"",""نیلا""]",urdu pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,1655,0,<p style='color:blue'>ہرا</p>,main,"[""نیلا"",""ہرا""]",urdu pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,1252,1,<p style='color:blue'>ہرا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,944,1,<p style='color:blue'>نیلا</p>,main,"[""لال"",""نیلا""]",urdu pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,1861,0,<p style='color:blue'>ہرا</p>,main,"[""نیلا"",""ہرا""]",urdu pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,1009,1,<p style='color:green'>ہرا</p>,main,"[""لال"",""ہرا""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,791,0,<p style='color:red'>لال</p>,main,"[""لال"",""نیلا""]",urdu pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,820,0,<p style='color:green'>ہرا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,953,0,<p style='color:red'>لال</p>,main,"[""لال"",""ہرا""]",urdu pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,935,1,<p style='color:green'>نیلا</p>,main,"[""نیلا"",""ہرا""]",urdu pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,1051,0,<p style='color:green'>نیلا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,908,1,<p style='color:blue'>لال</p>,main,"[""لال"",""نیلا""]",urdu pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,853,0,<p style='color:green'>ہرا</p>,main,"[""ہرا"",""لال""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,968,1,<p style='color:blue'>ہرا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,1075,1,<p style='color:red'>نیلا</p>,main,"[""نیلا"",""لال""]",urdu pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,868,1,<p style='color:green'>ہرا</p>,main,"[""لال"",""ہرا""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,939,0,<p style='color:green'>لال</p>,main,"[""ہرا"",""لال""]",urdu pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,853,0,<p style='color:green'>ہرا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,845,1,<p style='color:blue'>لال</p>,main,"[""لال"",""نیلا""]",urdu pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,2344,0,<p style='color:red'>ہرا</p>,main,"[""لال"",""ہرا""]",urdu pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,1266,1,<p style='color:red'>لال</p>,main,"[""ہرا"",""لال""]",urdu pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,788,0,<p style='color:blue'>لال</p>,main,"[""نیلا"",""لال""]",urdu pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,870,1,<p style='color:blue'>ہرا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,blue,incongruent,green,trial,1,5,2,9,7,
P01,1,815,0,<p style='color:blue'>نیلا</p>,main,"[""نیلا"",""لال""]",urdu pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,1022,0,<p style='color:red'>نیلا</p>,main,"[""لال"",""نیلا""]",urdu pure,red,incongruent,blue,trial,1,5,2,9,7,
P01,1,855,1,<p style='color:red'>لال</p>,main,"[""ہرا"",""لال""]",urdu pure,red,congruent,red,trial,1,5,2,9,7,
P01,1,969,1,<p style='color:red'>ہرا</p>,main,"[""ہرا"",""لال""]",urdu pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,819,0,<p style='color:blue'>نیلا</p>,main,"[""نیلا"",""لال""]",urdu pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,832,0,<p style='color:blue'>نیلا</p>,main,"[""نیلا"",""ہرا""]",urdu pure,blue,congruent,blue,trial,1,5,2,9,7,
P01,1,1370,0,<p style='color:red'>ہرا</p>,main,"[""لال"",""ہرا""]",urdu pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,839,1,<p style='color:green'>لال</p>,main,"[""لال"",""ہرا""]",urdu pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,895,1,<p style='color:red'>ہرا</p>,main,"[""ہرا"",""لال""]",urdu pure,red,incongruent,green,trial,1,5,2,9,7,
P01,1,815,0,<p style='color:green'>ہرا</p>,main,"[""ہرا"",""لال""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,905,1,<p style='color:blue'>لال</p>,main,"[""لال"",""نیلا""]",urdu pure,blue,incongruent,red,trial,1,5,2,9,7,
P01,1,861,0,<p style='color:green'>ہرا</p>,main,"[""ہرا"",""لال""]",urdu pure,green,congruent,green,trial,1,5,2,9,7,
P01,1,744,0,<p style='color:green'>لال</p>,main,"[""ہرا"",""لال""]",urdu pure,green,incongruent,red,trial,1,5,2,9,7,
P01,1,860,0,<p style='color:green'>نیلا</p>,main,"[""ہرا"",""نیلا""]",urdu pure,green,incongruent,blue,trial,1,5,2,9,7,
P01,1,797,0,<p style='color:red'>لال</p>,main,"[""لال"",""نیلا""]",urdu pure,red,congruent,red,trial,1,5,2,9,7,
